"","country","sex","continent","bc","ratio_neverinunion","n.x","ratio_childless","n.y"
"108","Estonia","Women","Europe & North America","ratio_8050",1.01694915254237,2,2.55737704918033,2
"109","Finland","Men","Europe & North America","ratio_8050",0.17032967032967,2,1.77647058823529,2
"110","Finland","Women","Europe & North America","ratio_8050",1.35869565217391,2,1.21290322580645,2
"111","France","Men","Europe & North America","ratio_8050",0.462783171521036,2,1.76470588235294,2
"112","France","Women","Europe & North America","ratio_8050",0,2,1.3,2
"113","Germany","Men","Europe & North America","ratio_8050",0.3125,2,2.03418803418803,2
"114","Germany","Women","Europe & North America","ratio_8050",0.588477366255144,2,1.42384105960265,2
"115","Hungary","Men","Europe & North America","ratio_8050",1.3215859030837,2,2.62204724409449,2
"116","Hungary","Women","Europe & North America","ratio_8050",0.647058823529412,2,3.67901234567901,2
"117","Ireland","Men","Europe & North America","ratio_8050",0.504189944134078,2,1.6377358490566,2
"118","Ireland","Women","Europe & North America","ratio_8050",0.866425992779783,2,1.07142857142857,2
"119","Italy","Men","Europe & North America","ratio_8050",1.392,2,3.41975308641975,2
"120","Italy","Women","Europe & North America","ratio_8050",1.08823529411765,2,2.67682926829268,2
"121","Poland","Men","Europe & North America","ratio_8050",1.02345058626466,2,2.03592814371257,2
"122","Poland","Women","Europe & North America","ratio_8050",0.717672413793103,2,1.38834951456311,2
"123","Serbia","Men","Europe & North America","ratio_8050",1.29399585921325,2,3.3030303030303,2
"124","Serbia","Women","Europe & North America","ratio_8050",2.7027027027027,2,2.16666666666667,2
"125","Spain","Men","Europe & North America","ratio_8050",0.752118644067797,2,2.70198675496689,2
"126","Spain","Women","Europe & North America","ratio_8050",0.42018779342723,2,3.25423728813559,2
"127","The UK","Men","Europe & North America","ratio_8050",0.637931034482759,2,2.23148148148148,2
"128","The UK","Women","Europe & North America","ratio_8050",0.795238095238095,2,1.18055555555556,2
