"","country","sex","edu2","n_total","n_childless","n_niu","n","continent","p_childless","p_niu","gii"
"153","Sweden","Men","All",1890,373,112,2,"Europe & North America",19.7354497354497,30.0268096514745,0.0559999998658895
"154","Sweden","Women","All",2055,231,36,2,"Europe & North America",11.2408759124088,15.5844155844156,0.0559999998658895
"155","Switzerland","Men","All",458,132,22,2,"Europe & North America",28.82096069869,16.6666666666667,0.0800000000745058
"156","Switzerland","Women","All",490,120,28,2,"Europe & North America",24.4897959183673,23.3333333333333,0.0800000000745058
"157","Tanzania","Men","All",3636,95,27,2,"Africa",2.61276127612761,28.4210526315789,0.610499978065491
"158","Tanzania","Women","All",978,34,22,2,"Africa",3.47648261758691,64.7058823529412,0.610499978065491
"159","The UK","Men","All",1861,527,134,2,"Europe & North America",28.3181085437937,25.426944971537,0.194499999284744
"160","The UK","Women","All",2260,371,79,2,"Europe & North America",16.4159292035398,21.2938005390836,0.194499999284744
"161","The US","Men","All",868,236,84,2,"Europe & North America",27.1889400921659,35.593220338983,0.261500000953674
"162","The US","Women","All",1042,150,34,2,"Europe & North America",14.3953934740883,22.6666666666667,0.261500000953674
"163","Togo","Men","All",3063,75,22,2,"Africa",2.44857982370225,29.3333333333333,0.643500000238419
"164","Togo","Women","All",1523,75,42,2,"Africa",4.92449113591596,56,0.643500000238419
"165","Turkey","Men","All",895,54,23,2,"Europe & North America",6.03351955307263,42.5925925925926,0.487499982118607
"166","Turkey","Women","All",301,9,0,2,"Europe & North America",2.99003322259136,0,0.487499982118607
"167","Uganda","Men","All",4078,75,23,2,"Africa",1.83913683178028,30.6666666666667,0.600499987602234
"168","Uganda","Women","All",1440,32,16,2,"Africa",2.22222222222222,50,0.600499987602234
"169","Ukraine","Men","All",2790,175,48,2,"FSU",6.27240143369176,27.4285714285714,0.340999990701675
"170","Ukraine","Women","All",1340,151,59,2,"FSU",11.2686567164179,39.0728476821192,0.340999990701675
"171","Zambia","Men","All",2565,49,16,2,"Africa",1.91033138401559,32.6530612244898,0.617000013589859
"172","Zambia","Women","All",3191,89,58,2,"Africa",2.78909432779693,65.1685393258427,0.617000013589859
"173","Zimbabwe","Men","All",2551,93,38,2,"Africa",3.64562916503332,40.8602150537634,0.608500003814697
"174","Zimbabwe","Women","All",2504,119,43,2,"Africa",4.75239616613419,36.1344537815126,0.608500003814697
