"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"1154",1940,"Romania","Women","1970-1979","Medium",78,6,3,7.7,50,"Europe & North America"
"1155",1943,"Russia","Men","1920-1929","Low",128,13,1,10.2,7.7,"FSU"
"1156",1946,"Russia","Men","1930-1939","High",156,9,1,5.8,11.1,"FSU"
"1157",1947,"Russia","Men","1930-1939","Low",252,24,3,9.5,12.5,"FSU"
"1158",1948,"Russia","Men","1930-1939","Medium",149,19,3,12.8,15.8,"FSU"
"1159",1950,"Russia","Men","1940-1949","High",247,18,4,7.3,22.2,"FSU"
"1160",1951,"Russia","Men","1940-1949","Low",120,10,1,8.3,10,"FSU"
"1161",1952,"Russia","Men","1940-1949","Medium",231,20,1,8.7,5,"FSU"
"1162",1954,"Russia","Men","1950-1959","High",348,21,9,6,42.9,"FSU"
"1163",1955,"Russia","Men","1950-1959","Low",83,10,5,12,50,"FSU"
"1164",1956,"Russia","Men","1950-1959","Medium",469,42,9,9,21.4,"FSU"
"1165",1957,"Russia","Men","1950-1959",NA,56,6,2,10.7,33.3,"FSU"
"1166",1958,"Russia","Men","1960-1969","High",389,45,20,11.6,44.4,"FSU"
"1167",1960,"Russia","Men","1960-1969","Medium",537,86,36,16,41.9,"FSU"
"1168",1961,"Russia","Men","1960-1969",NA,60,6,1,10,16.7,"FSU"
"1169",1966,"Russia","Women","1920-1929","High",87,18,5,20.7,27.8,"FSU"
"1170",1967,"Russia","Women","1920-1929","Low",336,43,16,12.8,37.2,"FSU"
"1171",1968,"Russia","Women","1920-1929","Medium",104,19,6,18.3,31.6,"FSU"
"1172",1970,"Russia","Women","1930-1939","High",402,37,8,9.2,21.6,"FSU"
"1173",1971,"Russia","Women","1930-1939","Low",629,45,11,7.2,24.4,"FSU"
"1174",1972,"Russia","Women","1930-1939","Medium",275,23,5,8.4,21.7,"FSU"
"1175",1974,"Russia","Women","1940-1949","High",518,47,19,9.1,40.4,"FSU"
"1176",1975,"Russia","Women","1940-1949","Low",251,23,5,9.2,21.7,"FSU"
"1177",1976,"Russia","Women","1940-1949","Medium",348,38,10,10.9,26.3,"FSU"
"1178",1978,"Russia","Women","1950-1959","High",832,63,26,7.6,41.3,"FSU"
"1179",1979,"Russia","Women","1950-1959","Low",107,9,1,8.4,11.1,"FSU"
"1180",1980,"Russia","Women","1950-1959","Medium",676,40,11,5.9,27.5,"FSU"
"1181",1981,"Russia","Women","1950-1959",NA,100,9,4,9,44.4,"FSU"
"1182",1982,"Russia","Women","1960-1969","High",718,56,24,7.8,42.9,"FSU"
"1183",1984,"Russia","Women","1960-1969","Medium",603,38,12,6.3,31.6,"FSU"
"1184",1985,"Russia","Women","1960-1969",NA,74,6,3,8.1,50,"FSU"
"1185",1990,"Rwanda","Men","1970-1979","High",1120,33,14,2.9,42.4,"Africa"
"1186",1991,"Rwanda","Men","1970-1979","Low",1401,42,27,3,64.3,"Africa"
"1187",1992,"Rwanda","Men","1980-1989","High",1015,47,33,4.6,70.2,"Africa"
"1188",1993,"Rwanda","Men","1980-1989","Low",1223,41,26,3.4,63.4,"Africa"
"1189",1994,"Rwanda","Women","1960-1969","High",292,7,3,2.4,42.9,"Africa"
"1190",1995,"Rwanda","Women","1960-1969","Low",352,11,8,3.1,72.7,"Africa"
"1191",1996,"Rwanda","Women","1970-1979","High",475,13,8,2.7,61.5,"Africa"
"1192",1997,"Rwanda","Women","1970-1979","Low",498,11,4,2.2,36.4,"Africa"
"1193",1998,"Rwanda","Women","1980-1989","High",317,20,12,6.3,60,"Africa"
"1194",1999,"Rwanda","Women","1980-1989","Low",540,35,20,6.5,57.1,"Africa"
"1195",2002,"Sao Tome and Principe","Men","1960-1969","High",188,1,NA,0.5,NA,"Africa"
"1196",2003,"Sao Tome and Principe","Men","1960-1969","Low",341,3,NA,0.9,NA,"Africa"
"1197",2004,"Sao Tome and Principe","Men","1970-1979","High",89,1,NA,1.1,NA,"Africa"
"1198",2005,"Sao Tome and Principe","Men","1970-1979","Low",131,1,NA,0.8,NA,"Africa"
"1199",2008,"Sao Tome and Principe","Women","1950-1959","High",81,1,1,1.2,100,"Africa"
"1200",2009,"Sao Tome and Principe","Women","1950-1959","Low",154,7,5,4.5,71.4,"Africa"
"1201",2010,"Sao Tome and Principe","Women","1960-1969","High",191,8,3,4.2,37.5,"Africa"
"1202",2011,"Sao Tome and Principe","Women","1960-1969","Low",201,17,10,8.5,58.8,"Africa"
"1203",2012,"Sao Tome and Principe","Women","1970-1979","High",80,4,2,5,50,"Africa"
"1204",2013,"Sao Tome and Principe","Women","1970-1979","Low",115,12,8,10.4,66.7,"Africa"
"1205",2015,"Senegal","Men","1960-1969","Low",92,1,NA,1.1,NA,"Africa"
"1206",2016,"Senegal","Men","1970-1979","High",470,39,15,8.3,38.5,"Africa"
"1207",2017,"Senegal","Men","1970-1979","Low",1102,38,11,3.4,28.9,"Africa"
"1208",2018,"Senegal","Men","1980-1989","High",277,23,9,8.3,39.1,"Africa"
"1209",2019,"Senegal","Men","1980-1989","Low",635,36,6,5.7,16.7,"Africa"
"1210",2022,"Senegal","Women","1960-1969","High",141,11,4,7.8,36.4,"Africa"
"1211",2023,"Senegal","Women","1960-1969","Low",246,7,3,2.8,42.9,"Africa"
"1212",2025,"Senegal","Women","1970-1979","High",243,30,20,12.3,66.7,"Africa"
"1213",2026,"Senegal","Women","1970-1979","Low",347,14,7,4,50,"Africa"
"1214",2027,"Senegal","Women","1980-1989","High",126,32,18,25.4,56.2,"Africa"
"1215",2028,"Senegal","Women","1980-1989","Low",184,34,14,18.5,41.2,"Africa"
"1216",2037,"Serbia","Men","1940-1949","Medium",57,4,1,7,25,"Europe & North America"
"1217",2040,"Serbia","Men","1950-1959","Medium",129,19,10,14.7,52.6,"Europe & North America"
"1218",2044,"Serbia","Men","1960-1969","Medium",114,28,12,24.6,42.9,"Europe & North America"
"1219",2047,"Serbia","Men","1970-1979","Medium",94,19,10,20.2,52.6,"Europe & North America"
"1220",2054,"Serbia","Women","1930-1939","Low",53,6,1,11.3,16.7,"Europe & North America"
"1221",2057,"Serbia","Women","1940-1949","Low",97,9,2,9.3,22.2,"Europe & North America"
"1222",2058,"Serbia","Women","1940-1949","Medium",60,6,1,10,16.7,"Europe & North America"
"1223",2060,"Serbia","Women","1950-1959","Low",77,5,NA,6.5,NA,"Europe & North America"
"1224",2061,"Serbia","Women","1950-1959","Medium",104,7,2,6.7,28.6,"Europe & North America"
"1225",2064,"Serbia","Women","1960-1969","Medium",110,14,4,12.7,28.6,"Europe & North America"
"1226",2067,"Serbia","Women","1970-1979","Medium",99,19,9,19.2,47.4,"Europe & North America"
"1227",2073,"Sierra Leone","Men","1970-1979","High",553,10,3,1.8,30,"Africa"
"1228",2074,"Sierra Leone","Men","1970-1979","Low",2180,33,4,1.5,12.1,"Africa"
"1229",2075,"Sierra Leone","Men","1980-1989","High",471,21,7,4.5,33.3,"Africa"
"1230",2076,"Sierra Leone","Men","1980-1989","Low",1685,30,6,1.8,20,"Africa"
"1231",2079,"Sierra Leone","Women","1960-1969","High",310,3,2,1,66.7,"Africa"
"1232",2080,"Sierra Leone","Women","1960-1969","Low",532,4,1,0.8,25,"Africa"
"1233",2081,"Sierra Leone","Women","1970-1979","High",567,14,9,2.5,64.3,"Africa"
"1234",2082,"Sierra Leone","Women","1970-1979","Low",766,9,5,1.2,55.6,"Africa"
"1235",2083,"Sierra Leone","Women","1980-1989","High",275,16,9,5.8,56.2,"Africa"
"1236",2084,"Sierra Leone","Women","1980-1989","Low",493,31,13,6.3,41.9,"Africa"
"1237",2094,"Slovakia","Men","1940-1949","Medium",138,12,10,8.7,83.3,"FSU"
"1238",2097,"Slovakia","Men","1950-1959","Medium",206,28,20,13.6,71.4,"FSU"
"1239",2101,"Slovakia","Men","1960-1969","Medium",182,39,24,21.4,61.5,"FSU"
"1240",2104,"Slovakia","Men","1970-1979","Medium",81,20,17,24.7,85,"FSU"
"1241",2114,"Slovakia","Women","1930-1939","Low",53,2,NA,3.8,NA,"FSU"
"1242",2118,"Slovakia","Women","1940-1949","Low",57,8,2,14,25,"FSU"
"1243",2119,"Slovakia","Women","1940-1949","Medium",115,5,3,4.3,60,"FSU"
"1244",2122,"Slovakia","Women","1950-1959","Low",57,6,3,10.5,50,"FSU"
"1245",2123,"Slovakia","Women","1950-1959","Medium",212,18,11,8.5,61.1,"FSU"
"1246",2127,"Slovakia","Women","1960-1969","Medium",186,22,15,11.8,68.2,"FSU"
"1247",2130,"Slovakia","Women","1970-1979","Medium",76,10,4,13.2,40,"FSU"
"1248",2151,"Slovenia","Men","1940-1949","Medium",108,8,4,7.4,50,"Europe & North America"
"1249",2154,"Slovenia","Men","1950-1959","Medium",132,11,5,8.3,45.5,"Europe & North America"
"1250",2157,"Slovenia","Men","1960-1969","Medium",142,14,9,9.9,64.3,"Europe & North America"
"1251",2160,"Slovenia","Men","1970-1979","Medium",76,22,9,28.9,40.9,"Europe & North America"
"1252",2171,"Slovenia","Women","1930-1939","Low",86,4,2,4.7,50,"Europe & North America"
"1253",2172,"Slovenia","Women","1930-1939","Medium",51,3,1,5.9,33.3,"Europe & North America"
"1254",2174,"Slovenia","Women","1940-1949","Low",73,5,NA,6.8,NA,"Europe & North America"
"1255",2175,"Slovenia","Women","1940-1949","Medium",92,2,1,2.2,50,"Europe & North America"
"1256",2176,"Slovenia","Women","1950-1959","High",58,3,NA,5.2,NA,"Europe & North America"
"1257",2177,"Slovenia","Women","1950-1959","Low",86,6,2,7,33.3,"Europe & North America"
"1258",2178,"Slovenia","Women","1950-1959","Medium",133,11,3,8.3,27.3,"Europe & North America"
"1259",2179,"Slovenia","Women","1960-1969","High",79,11,6,13.9,54.5,"Europe & North America"
"1260",2181,"Slovenia","Women","1960-1969","Medium",120,2,1,1.7,50,"Europe & North America"
"1261",2182,"Slovenia","Women","1970-1979","High",71,9,4,12.7,44.4,"Europe & North America"
"1262",2184,"Slovenia","Women","1970-1979","Medium",69,4,NA,5.8,NA,"Europe & North America"
"1263",2189,"South Africa","Men","1960-1969","High",310,21,7,6.8,33.3,"Africa"
"1264",2190,"South Africa","Men","1960-1969","Low",310,20,10,6.5,50,"Africa"
"1265",2191,"South Africa","Men","1970-1979","High",716,58,31,8.1,53.4,"Africa"
"1266",2192,"South Africa","Men","1970-1979","Low",1174,53,27,4.5,50.9,"Africa"
"1267",2193,"South Africa","Men","1980-1989","High",156,16,10,10.3,62.5,"Africa"
"1268",2194,"South Africa","Men","1980-1989","Low",243,15,10,6.2,66.7,"Africa"
"1269",2195,"South Africa","Women","1950-1959","High",67,6,4,9,66.7,"Africa"
"1270",2196,"South Africa","Women","1950-1959","Low",68,4,4,5.9,100,"Africa"
"1271",2197,"South Africa","Women","1960-1969","High",207,19,10,9.2,52.6,"Africa"
"1272",2198,"South Africa","Women","1960-1969","Low",281,38,27,13.5,71.1,"Africa"
"1273",2199,"South Africa","Women","1970-1979","High",315,28,17,8.9,60.7,"Africa"
"1274",2200,"South Africa","Women","1970-1979","Low",321,44,34,13.7,77.3,"Africa"
"1275",2202,"South Africa","Women","1980-1989","Low",81,21,15,25.9,71.4,"Africa"
"1276",2208,"Spain","Men","1930-1939","Low",93,13,7,14,53.8,"Europe & North America"
"1277",2212,"Spain","Men","1940-1949","Low",128,17,11,13.3,64.7,"Europe & North America"
"1278",2216,"Spain","Men","1950-1959","Low",121,22,13,18.2,59.1,"Europe & North America"
"1279",2217,"Spain","Men","1950-1959","Medium",69,9,2,13,22.2,"Europe & North America"
"1280",2219,"Spain","Men","1960-1969","High",85,21,7,24.7,33.3,"Europe & North America"
"1281",2220,"Spain","Men","1960-1969","Low",166,31,13,18.7,41.9,"Europe & North America"
"1282",2221,"Spain","Men","1960-1969","Medium",98,23,8,23.5,34.8,"Europe & North America"
"1283",2223,"Spain","Men","1970-1979","High",57,23,8,40.4,34.8,"Europe & North America"
"1284",2224,"Spain","Men","1970-1979","Low",75,15,6,20,40,"Europe & North America"
"1285",2225,"Spain","Men","1970-1979","Medium",54,15,6,27.8,40,"Europe & North America"
"1286",2238,"Spain","Women","1920-1929","Low",541,63,23,11.6,36.5,"Europe & North America"
"1287",2240,"Spain","Women","1920-1929",NA,188,18,6,9.6,33.3,"Europe & North America"
"1288",2242,"Spain","Women","1930-1939","Low",997,95,28,9.5,29.5,"Europe & North America"
"1289",2243,"Spain","Women","1930-1939","Medium",70,10,7,14.3,70,"Europe & North America"
"1290",2244,"Spain","Women","1930-1939",NA,316,31,13,9.8,41.9,"Europe & North America"
"1291",2245,"Spain","Women","1940-1949","High",105,20,10,19,50,"Europe & North America"
"1292",2246,"Spain","Women","1940-1949","Low",1041,79,31,7.6,39.2,"Europe & North America"
"1293",2247,"Spain","Women","1940-1949","Medium",134,16,12,11.9,75,"Europe & North America"
"1294",2248,"Spain","Women","1940-1949",NA,177,14,5,7.9,35.7,"Europe & North America"
"1295",2249,"Spain","Women","1950-1959","High",252,54,22,21.4,40.7,"Europe & North America"
"1296",2250,"Spain","Women","1950-1959","Low",955,80,34,8.4,42.5,"Europe & North America"
"1297",2251,"Spain","Women","1950-1959","Medium",342,49,22,14.3,44.9,"Europe & North America"
"1298",2252,"Spain","Women","1950-1959",NA,69,7,2,10.1,28.6,"Europe & North America"
"1299",2253,"Spain","Women","1960-1969","High",457,116,53,25.4,45.7,"Europe & North America"
"1300",2254,"Spain","Women","1960-1969","Low",910,90,32,9.9,35.6,"Europe & North America"
"1301",2255,"Spain","Women","1960-1969","Medium",684,87,30,12.7,34.5,"Europe & North America"
"1302",2257,"Spain","Women","1970-1979","High",131,33,11,25.2,33.3,"Europe & North America"
"1303",2258,"Spain","Women","1970-1979","Low",169,26,7,15.4,26.9,"Europe & North America"
"1304",2259,"Spain","Women","1970-1979","Medium",148,44,15,29.7,34.1,"Europe & North America"
"1305",2264,"Swaziland","Men","1950-1959","High",114,3,1,2.6,33.3,"Africa"
"1306",2265,"Swaziland","Men","1950-1959","Low",118,5,1,4.2,20,"Africa"
"1307",2266,"Swaziland","Men","1960-1969","High",443,24,8,5.4,33.3,"Africa"
"1308",2267,"Swaziland","Men","1960-1969","Low",473,20,5,4.2,25,"Africa"
"1309",2268,"Swaziland","Men","1970-1979","High",72,6,3,8.3,50,"Africa"
"1310",2269,"Swaziland","Men","1970-1979","Low",113,4,2,3.5,50,"Africa"
"1311",2270,"Swaziland","Women","1950-1959","High",67,2,NA,3,NA,"Africa"
"1312",2271,"Swaziland","Women","1950-1959","Low",85,3,2,3.5,66.7,"Africa"
"1313",2273,"Swaziland","Women","1960-1969","High",278,15,10,5.4,66.7,"Africa"
"1314",2274,"Swaziland","Women","1960-1969","Low",352,28,15,8,53.6,"Africa"
"1315",2276,"Swaziland","Women","1970-1979","High",58,4,3,6.9,75,"Africa"
"1316",2277,"Swaziland","Women","1970-1979","Low",89,12,9,13.5,75,"Africa"
"1317",2284,"Sweden","Men","1930-1939","High",97,11,2,11.3,18.2,"Europe & North America"
"1318",2285,"Sweden","Men","1930-1939","Low",190,30,8,15.8,26.7,"Europe & North America"
"1319",2286,"Sweden","Men","1930-1939","Medium",165,17,4,10.3,23.5,"Europe & North America"
"1320",2288,"Sweden","Men","1940-1949","High",295,34,9,11.5,26.5,"Europe & North America"
"1321",2289,"Sweden","Men","1940-1949","Low",298,40,17,13.4,42.5,"Europe & North America"
"1322",2290,"Sweden","Men","1940-1949","Medium",516,60,14,11.6,23.3,"Europe & North America"
"1323",2292,"Sweden","Men","1950-1959","High",316,42,12,13.3,28.6,"Europe & North America"
"1324",2293,"Sweden","Men","1950-1959","Low",201,35,13,17.4,37.1,"Europe & North America"
"1325",2294,"Sweden","Men","1950-1959","Medium",599,84,16,14,19,"Europe & North America"
"1326",2296,"Sweden","Men","1960-1969","High",316,50,17,15.8,34,"Europe & North America"
"1327",2297,"Sweden","Men","1960-1969","Low",114,22,3,19.3,13.6,"Europe & North America"
"1328",2298,"Sweden","Men","1960-1969","Medium",672,129,49,19.2,38,"Europe & North America"
"1329",2300,"Sweden","Men","1970-1979","High",344,83,14,24.1,16.9,"Europe & North America"
"1330",2301,"Sweden","Men","1970-1979","Low",51,10,5,19.6,50,"Europe & North America"
"1331",2302,"Sweden","Men","1970-1979","Medium",393,79,24,20.1,30.4,"Europe & North America"
"1332",2314,"Sweden","Women","1930-1939","High",122,12,4,9.8,33.3,"Europe & North America"
"1333",2315,"Sweden","Women","1930-1939","Low",221,11,4,5,36.4,"Europe & North America"
"1334",2316,"Sweden","Women","1930-1939","Medium",162,11,3,6.8,27.3,"Europe & North America"
"1335",2318,"Sweden","Women","1940-1949","High",359,40,6,11.1,15,"Europe & North America"
"1336",2319,"Sweden","Women","1940-1949","Low",292,24,2,8.2,8.3,"Europe & North America"
"1337",2320,"Sweden","Women","1940-1949","Medium",489,41,10,8.4,24.4,"Europe & North America"
"1338",2322,"Sweden","Women","1950-1959","High",449,51,9,11.4,17.6,"Europe & North America"
"1339",2323,"Sweden","Women","1950-1959","Low",128,13,1,10.2,7.7,"Europe & North America"
"1340",2324,"Sweden","Women","1950-1959","Medium",512,54,6,10.5,11.1,"Europe & North America"
"1341",2326,"Sweden","Women","1960-1969","High",523,49,7,9.4,14.3,"Europe & North America"
"1342",2327,"Sweden","Women","1960-1969","Low",83,11,1,13.3,9.1,"Europe & North America"
"1343",2328,"Sweden","Women","1960-1969","Medium",657,67,7,10.2,10.4,"Europe & North America"
"1344",2330,"Sweden","Women","1970-1979","High",440,63,12,14.3,19,"Europe & North America"
"1345",2332,"Sweden","Women","1970-1979","Medium",329,39,9,11.9,23.1,"Europe & North America"
"1346",2347,"Switzerland","Men","1930-1939","Medium",62,9,2,14.5,22.2,"Europe & North America"
"1347",2348,"Switzerland","Men","1940-1949","High",72,16,NA,22.2,NA,"Europe & North America"
"1348",2350,"Switzerland","Men","1940-1949","Medium",109,22,5,20.2,22.7,"Europe & North America"
"1349",2351,"Switzerland","Men","1950-1959","High",105,18,2,17.1,11.1,"Europe & North America"
"1350",2353,"Switzerland","Men","1950-1959","Medium",137,33,11,24.1,33.3,"Europe & North America"
"1351",2354,"Switzerland","Men","1960-1969","High",125,37,6,29.6,16.2,"Europe & North America"
"1352",2356,"Switzerland","Men","1960-1969","Medium",121,40,8,33.1,20,"Europe & North America"
"1353",2357,"Switzerland","Men","1970-1979","High",78,20,6,25.6,30,"Europe & North America"
"1354",2359,"Switzerland","Men","1970-1979","Medium",69,25,1,36.2,4,"Europe & North America"
"1355",2369,"Switzerland","Women","1930-1939","Low",75,13,5,17.3,38.5,"Europe & North America"
"1356",2370,"Switzerland","Women","1930-1939","Medium",67,13,6,19.4,46.2,"Europe & North America"
"1357",2372,"Switzerland","Women","1940-1949","Low",86,17,7,19.8,41.2,"Europe & North America"
"1358",2373,"Switzerland","Women","1940-1949","Medium",119,18,4,15.1,22.2,"Europe & North America"
"1359",2375,"Switzerland","Women","1950-1959","High",59,13,1,22,7.7,"Europe & North America"
"1360",2376,"Switzerland","Women","1950-1959","Low",61,13,3,21.3,23.1,"Europe & North America"
"1361",2377,"Switzerland","Women","1950-1959","Medium",150,39,7,26,17.9,"Europe & North America"
"1362",2378,"Switzerland","Women","1960-1969","High",96,33,7,34.4,21.2,"Europe & North America"
"1363",2379,"Switzerland","Women","1960-1969","Low",72,10,2,13.9,20,"Europe & North America"
"1364",2380,"Switzerland","Women","1960-1969","Medium",167,39,10,23.4,25.6,"Europe & North America"
"1365",2382,"Switzerland","Women","1970-1979","High",61,20,3,32.8,15,"Europe & North America"
"1366",2384,"Switzerland","Women","1970-1979","Medium",74,14,4,18.9,28.6,"Europe & North America"
"1367",2388,"Tanzania","Men","1960-1969","High",132,1,NA,0.8,NA,"Africa"
"1368",2389,"Tanzania","Men","1960-1969","Low",642,12,2,1.9,16.7,"Africa"
"1369",2390,"Tanzania","Men","1970-1979","High",436,27,14,6.2,51.9,"Africa"
"1370",2391,"Tanzania","Men","1970-1979","Low",2426,55,11,2.3,20,"Africa"
"1371",2394,"Tanzania","Men","1980-1989","Low",326,9,3,2.8,33.3,"Africa"
"1372",2396,"Tanzania","Women","1960-1969","Low",203,4,1,2,25,"Africa"
"1373",2397,"Tanzania","Women","1970-1979","High",142,8,7,5.6,87.5,"Africa"
"1374",2398,"Tanzania","Women","1970-1979","Low",604,18,11,3,61.1,"Africa"
"1375",2400,"Tanzania","Women","1980-1989","Low",60,NA,NA,NA,NA,"Africa"
"1376",2403,"The UK","Men","1920-1929","High",70,13,NA,18.6,NA,"Europe & North America"
"1377",2404,"The UK","Men","1920-1929","Low",162,30,16,18.5,53.3,"Europe & North America"
"1378",2405,"The UK","Men","1920-1929","Medium",63,10,3,15.9,30,"Europe & North America"
"1379",2407,"The UK","Men","1930-1939","High",265,39,8,14.7,20.5,"Europe & North America"
"1380",2408,"The UK","Men","1930-1939","Low",356,69,32,19.4,46.4,"Europe & North America"
"1381",2409,"The UK","Men","1930-1939","Medium",221,38,12,17.2,31.6,"Europe & North America"
"1382",2411,"The UK","Men","1940-1949","High",546,87,25,15.9,28.7,"Europe & North America"
"1383",2412,"The UK","Men","1940-1949","Low",395,75,32,19,42.7,"Europe & North America"
"1384",2413,"The UK","Men","1940-1949","Medium",315,47,8,14.9,17,"Europe & North America"
"1385",2414,"The UK","Men","1940-1949",NA,106,26,5,24.5,19.2,"Europe & North America"
"1386",2415,"The UK","Men","1950-1959","High",708,158,41,22.3,25.9,"Europe & North America"
"1387",2416,"The UK","Men","1950-1959","Low",262,67,24,25.6,35.8,"Europe & North America"
"1388",2417,"The UK","Men","1950-1959","Medium",353,61,18,17.3,29.5,"Europe & North America"
"1389",2418,"The UK","Men","1950-1959",NA,106,27,8,25.5,29.6,"Europe & North America"
"1390",2419,"The UK","Men","1960-1969","High",830,222,54,26.7,24.3,"Europe & North America"
"1391",2420,"The UK","Men","1960-1969","Low",246,66,32,26.8,48.5,"Europe & North America"
"1392",2421,"The UK","Men","1960-1969","Medium",498,142,33,28.5,23.2,"Europe & North America"
"1393",2422,"The UK","Men","1960-1969",NA,143,50,18,35,36,"Europe & North America"
"1394",2423,"The UK","Men","1970-1979","High",156,58,6,37.2,10.3,"Europe & North America"
"1395",2424,"The UK","Men","1970-1979","Low",57,16,5,28.1,31.2,"Europe & North America"
"1396",2425,"The UK","Men","1970-1979","Medium",83,28,8,33.7,28.6,"Europe & North America"
"1397",2435,"The UK","Women","1920-1929","High",65,22,8,33.8,36.4,"Europe & North America"
"1398",2436,"The UK","Women","1920-1929","Low",264,43,14,16.3,32.6,"Europe & North America"
"1399",2437,"The UK","Women","1920-1929","Medium",74,17,4,23,23.5,"Europe & North America"
"1400",2439,"The UK","Women","1930-1939","High",241,51,17,21.2,33.3,"Europe & North America"
"1401",2440,"The UK","Women","1930-1939","Low",537,67,20,12.5,29.9,"Europe & North America"
"1402",2441,"The UK","Women","1930-1939","Medium",219,37,12,16.9,32.4,"Europe & North America"
"1403",2442,"The UK","Women","1930-1939",NA,52,13,1,25,7.7,"Europe & North America"
"1404",2443,"The UK","Women","1940-1949","High",473,62,18,13.1,29,"Europe & North America"
"1405",2444,"The UK","Women","1940-1949","Low",624,75,18,12,24,"Europe & North America"
"1406",2445,"The UK","Women","1940-1949","Medium",397,44,14,11.1,31.8,"Europe & North America"
"1407",2446,"The UK","Women","1940-1949",NA,97,14,1,14.4,7.1,"Europe & North America"
"1408",2447,"The UK","Women","1950-1959","High",719,123,25,17.1,20.3,"Europe & North America"
"1409",2448,"The UK","Women","1950-1959","Low",375,38,8,10.1,21.1,"Europe & North America"
"1410",2449,"The UK","Women","1950-1959","Medium",461,63,14,13.7,22.2,"Europe & North America"
"1411",2450,"The UK","Women","1950-1959",NA,103,12,4,11.7,33.3,"Europe & North America"
"1412",2451,"The UK","Women","1960-1969","High",979,189,42,19.3,22.2,"Europe & North America"
"1413",2452,"The UK","Women","1960-1969","Low",299,25,9,8.4,36,"Europe & North America"
"1414",2453,"The UK","Women","1960-1969","Medium",647,97,23,15,23.7,"Europe & North America"
"1415",2454,"The UK","Women","1960-1969",NA,103,16,4,15.5,25,"Europe & North America"
"1416",2455,"The UK","Women","1970-1979","High",200,40,3,20,7.5,"Europe & North America"
"1417",2456,"The UK","Women","1970-1979","Low",54,4,1,7.4,25,"Europe & North America"
"1418",2457,"The UK","Women","1970-1979","Medium",93,17,2,18.3,11.8,"Europe & North America"
"1419",2459,"The UK","Women","1980-1989","High",63,14,1,22.2,7.1,"Europe & North America"
"1420",2462,"The US","Men","1960-1969","High",636,247,96,38.8,38.9,"Europe & North America"
"1421",2463,"The US","Men","1960-1969","Low",234,47,17,20.1,36.2,"Europe & North America"
"1422",2464,"The US","Men","1960-1969","Medium",373,117,35,31.4,29.9,"Europe & North America"
"1423",2465,"The US","Men","1970-1979","High",291,105,42,36.1,40,"Europe & North America"
"1424",2466,"The US","Men","1970-1979","Low",80,14,5,17.5,35.7,"Europe & North America"
"1425",2467,"The US","Men","1970-1979","Medium",136,38,16,27.9,42.1,"Europe & North America"
"1426",2468,"The US","Women","1950-1959","High",1871,407,107,21.8,26.3,"Europe & North America"
"1427",2469,"The US","Women","1950-1959","Low",494,33,8,6.7,24.2,"Europe & North America"
"1428",2470,"The US","Women","1950-1959","Medium",1510,192,35,12.7,18.2,"Europe & North America"
"1429",2471,"The US","Women","1960-1969","High",902,227,75,25.2,33,"Europe & North America"
"1430",2472,"The US","Women","1960-1969","Low",241,22,3,9.1,13.6,"Europe & North America"
"1431",2473,"The US","Women","1960-1969","Medium",467,77,16,16.5,20.8,"Europe & North America"
"1432",2474,"The US","Women","1970-1979","High",357,99,31,27.7,31.3,"Europe & North America"
"1433",2475,"The US","Women","1970-1979","Low",100,7,3,7,42.9,"Europe & North America"
"1434",2476,"The US","Women","1970-1979","Medium",146,16,1,11,6.2,"Europe & North America"
"1435",2477,"Timor-Leste","Men","1960-1969","High",281,21,15,7.5,71.4,"Asia"
"1436",2478,"Timor-Leste","Men","1960-1969","Low",325,21,14,6.5,66.7,"Asia"
"1437",2479,"Timor-Leste","Men","1970-1979","High",997,79,49,7.9,62,"Asia"
"1438",2480,"Timor-Leste","Men","1970-1979","Low",1560,103,67,6.6,65,"Asia"
"1439",2481,"Timor-Leste","Men","1980-1989","High",182,21,15,11.5,71.4,"Asia"
"1440",2482,"Timor-Leste","Men","1980-1989","Low",375,39,29,10.4,74.4,"Asia"
"1441",2483,"Timor-Leste","Women","1950-1959","High",51,2,1,3.9,50,"Asia"
"1442",2484,"Timor-Leste","Women","1950-1959","Low",61,7,2,11.5,28.6,"Asia"
"1443",2485,"Timor-Leste","Women","1960-1969","High",328,22,7,6.7,31.8,"Asia"
"1444",2486,"Timor-Leste","Women","1960-1969","Low",388,36,17,9.3,47.2,"Asia"
"1445",2487,"Timor-Leste","Women","1970-1979","High",400,41,20,10.2,48.8,"Asia"
"1446",2488,"Timor-Leste","Women","1970-1979","Low",458,52,29,11.4,55.8,"Asia"
"1447",2489,"Timor-Leste","Women","1980-1989","High",73,15,13,20.5,86.7,"Asia"
"1448",2490,"Timor-Leste","Women","1980-1989","Low",96,19,14,19.8,73.7,"Asia"
"1449",2491,"Togo","Men","1960-1969","High",406,10,5,2.5,50,"Africa"
"1450",2492,"Togo","Men","1960-1969","Low",532,6,NA,1.1,NA,"Africa"
"1451",2493,"Togo","Men","1970-1979","High",1007,41,11,4.1,26.8,"Africa"
"1452",2494,"Togo","Men","1970-1979","Low",1118,18,6,1.6,33.3,"Africa"
"1453",2496,"Togo","Women","1950-1959","High",90,2,2,2.2,100,"Africa"
"1454",2497,"Togo","Women","1950-1959","Low",118,1,1,0.8,100,"Africa"
