"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"432",708,"Estonia","Women","1920-1929","High",69,8,3,11.6,37.5,"Europe & North America"
"433",709,"Estonia","Women","1920-1929","Low",251,39,10,15.5,25.6,"Europe & North America"
"434",710,"Estonia","Women","1920-1929","Medium",103,15,4,14.6,26.7,"Europe & North America"
"435",711,"Estonia","Women","1930-1939","High",223,33,11,14.8,33.3,"Europe & North America"
"436",712,"Estonia","Women","1930-1939","Low",472,41,14,8.7,34.1,"Europe & North America"
"437",713,"Estonia","Women","1930-1939","Medium",340,31,6,9.1,19.4,"Europe & North America"
"438",714,"Estonia","Women","1940-1949","High",351,39,15,11.1,38.5,"Europe & North America"
"439",715,"Estonia","Women","1940-1949","Low",246,22,7,8.9,31.8,"Europe & North America"
"440",716,"Estonia","Women","1940-1949","Medium",474,22,6,4.6,27.3,"Europe & North America"
"441",717,"Estonia","Women","1950-1959","High",527,36,11,6.8,30.6,"Europe & North America"
"442",718,"Estonia","Women","1950-1959","Low",112,8,3,7.1,37.5,"Europe & North America"
"443",719,"Estonia","Women","1950-1959","Medium",637,34,9,5.3,26.5,"Europe & North America"
"444",720,"Estonia","Women","1960-1969","High",502,40,19,8,47.5,"Europe & North America"
"445",721,"Estonia","Women","1960-1969","Low",59,5,3,8.5,60,"Europe & North America"
"446",722,"Estonia","Women","1960-1969","Medium",607,43,14,7.1,32.6,"Europe & North America"
"447",723,"Estonia","Women","1970-1979","High",89,14,3,15.7,21.4,"Europe & North America"
"448",725,"Estonia","Women","1970-1979","Medium",114,5,1,4.4,20,"Europe & North America"
"449",729,"Ethiopia","Men","1960-1969","High",128,11,6,8.6,54.5,"Africa"
"450",730,"Ethiopia","Men","1960-1969","Low",366,6,NA,1.6,NA,"Africa"
"451",731,"Ethiopia","Men","1970-1979","High",881,101,59,11.5,58.4,"Africa"
"452",732,"Ethiopia","Men","1970-1979","Low",1894,36,10,1.9,27.8,"Africa"
"453",733,"Ethiopia","Men","1980-1989","High",296,36,22,12.2,61.1,"Africa"
"454",734,"Ethiopia","Men","1980-1989","Low",631,21,8,3.3,38.1,"Africa"
"455",735,"Ethiopia","Women","1950-1959","High",96,5,2,5.2,40,"Africa"
"456",736,"Ethiopia","Women","1950-1959","Low",121,1,NA,0.8,NA,"Africa"
"457",737,"Ethiopia","Women","1960-1969","High",619,32,17,5.2,53.1,"Africa"
"458",738,"Ethiopia","Women","1960-1969","Low",697,10,NA,1.4,NA,"Africa"
"459",739,"Ethiopia","Women","1970-1979","High",1091,134,81,12.3,60.4,"Africa"
"460",740,"Ethiopia","Women","1970-1979","Low",1321,33,12,2.5,36.4,"Africa"
"461",741,"Ethiopia","Women","1980-1989","High",230,50,30,21.7,60,"Africa"
"462",742,"Ethiopia","Women","1980-1989","Low",396,23,10,5.8,43.5,"Africa"
"463",750,"Finland","Men","1930-1939","Low",90,8,3,8.9,37.5,"Europe & North America"
"464",753,"Finland","Men","1940-1949","High",89,6,1,6.7,16.7,"Europe & North America"
"465",754,"Finland","Men","1940-1949","Low",102,13,5,12.7,38.5,"Europe & North America"
"466",755,"Finland","Men","1940-1949","Medium",86,11,3,12.8,27.3,"Europe & North America"
"467",756,"Finland","Men","1950-1959","High",113,16,5,14.2,31.2,"Europe & North America"
"468",757,"Finland","Men","1950-1959","Low",86,17,7,19.8,41.2,"Europe & North America"
"469",758,"Finland","Men","1950-1959","Medium",124,22,8,17.7,36.4,"Europe & North America"
"470",759,"Finland","Men","1960-1969","High",108,19,3,17.6,15.8,"Europe & North America"
"471",761,"Finland","Men","1960-1969","Medium",143,31,12,21.7,38.7,"Europe & North America"
"472",763,"Finland","Men","1970-1979","High",87,18,4,20.7,22.2,"Europe & North America"
"473",765,"Finland","Men","1970-1979","Medium",53,17,5,32.1,29.4,"Europe & North America"
"474",775,"Finland","Women","1920-1929","Low",58,10,4,17.2,40,"Europe & North America"
"475",778,"Finland","Women","1930-1939","Low",123,12,4,9.8,33.3,"Europe & North America"
"476",781,"Finland","Women","1940-1949","High",82,13,4,15.9,30.8,"Europe & North America"
"477",782,"Finland","Women","1940-1949","Low",122,11,4,9,36.4,"Europe & North America"
"478",783,"Finland","Women","1940-1949","Medium",95,12,3,12.6,25,"Europe & North America"
"479",784,"Finland","Women","1950-1959","High",140,25,6,17.9,24,"Europe & North America"
"480",785,"Finland","Women","1950-1959","Low",60,9,NA,15,NA,"Europe & North America"
"481",786,"Finland","Women","1950-1959","Medium",116,15,3,12.9,20,"Europe & North America"
"482",787,"Finland","Women","1960-1969","High",177,24,7,13.6,29.2,"Europe & North America"
"483",789,"Finland","Women","1960-1969","Medium",104,21,2,20.2,9.5,"Europe & North America"
"484",790,"Finland","Women","1970-1979","High",102,17,5,16.7,29.4,"Europe & North America"
"485",800,"France","Men","1920-1929","Low",157,30,11,19.1,36.7,"Europe & North America"
"486",802,"France","Men","1930-1939","High",98,6,1,6.1,16.7,"Europe & North America"
"487",803,"France","Men","1930-1939","Low",354,51,28,14.4,54.9,"Europe & North America"
"488",804,"France","Men","1930-1939","Medium",250,34,15,13.6,44.1,"Europe & North America"
"489",806,"France","Men","1940-1949","High",228,26,8,11.4,30.8,"Europe & North America"
"490",807,"France","Men","1940-1949","Low",398,60,30,15.1,50,"Europe & North America"
"491",808,"France","Men","1940-1949","Medium",413,64,21,15.5,32.8,"Europe & North America"
"492",809,"France","Men","1950-1959","High",286,51,11,17.8,21.6,"Europe & North America"
"493",810,"France","Men","1950-1959","Low",324,59,21,18.2,35.6,"Europe & North America"
"494",811,"France","Men","1950-1959","Medium",530,84,28,15.8,33.3,"Europe & North America"
"495",813,"France","Men","1960-1969","High",344,77,19,22.4,24.7,"Europe & North America"
"496",814,"France","Men","1960-1969","Low",227,63,33,27.8,52.4,"Europe & North America"
"497",815,"France","Men","1960-1969","Medium",644,118,41,18.3,34.7,"Europe & North America"
"498",816,"France","Men","1970-1979","High",118,31,5,26.3,16.1,"Europe & North America"
