"","country","sex","bc_cate","edu_cate","TotalN","ChildlessN","NeverInUnionN"
"222","Germany","Men","1940-1944",NA,9,1,1
"223","Germany","Men","1945-1949","Low",16,9,8
"224","Germany","Men","1945-1949","Medium",191,43,33
"225","Germany","Men","1945-1949","High",142,32,18
"226","Germany","Men","1945-1949",NA,3,NA,NA
"227","Germany","Men","1950-1954","Low",25,7,6
"228","Germany","Men","1950-1954","Medium",233,69,49
"229","Germany","Men","1950-1954","High",134,27,17
"230","Germany","Men","1950-1954",NA,4,1,1
"231","Germany","Men","1955-1959","Low",21,7,5
"232","Germany","Men","1955-1959","Medium",230,58,38
"233","Germany","Men","1955-1959","High",162,32,21
"234","Germany","Men","1955-1959",NA,4,NA,NA
"235","Germany","Men","1960-1964","Low",30,10,8
"236","Germany","Men","1960-1964","Medium",302,88,59
"237","Germany","Men","1960-1964","High",180,44,31
"238","Germany","Men","1960-1964",NA,9,5,2
"239","Germany","Men","1965-1969","Low",41,15,10
"240","Germany","Men","1965-1969","Medium",272,102,72
"241","Germany","Men","1965-1969","High",127,52,31
"242","Germany","Men","1965-1969",NA,7,3,3
"243","Germany","Men","1970-1974","Low",3,NA,NA
"244","Germany","Men","1970-1974","Medium",29,14,11
"245","Germany","Men","1970-1974","High",8,4,3
"246","Germany","Women","1920-1924","Medium",1,NA,NA
"247","Germany","Women","1925-1929","Low",102,31,24
"248","Germany","Women","1925-1929","Medium",115,29,21
"249","Germany","Women","1925-1929","High",28,14,10
"250","Germany","Women","1925-1929",NA,2,NA,NA
"251","Germany","Women","1930-1934","Low",117,27,18
"252","Germany","Women","1930-1934","Medium",132,29,17
"253","Germany","Women","1930-1934","High",42,12,9
"254","Germany","Women","1930-1934",NA,2,NA,NA
"255","Germany","Women","1935-1939","Low",101,19,12
"256","Germany","Women","1935-1939","Medium",228,55,42
"257","Germany","Women","1935-1939","High",47,6,3
"258","Germany","Women","1935-1939",NA,5,1,NA
"259","Germany","Women","1940-1944","Low",66,17,9
"260","Germany","Women","1940-1944","Medium",249,44,29
"261","Germany","Women","1940-1944","High",74,17,12
"262","Germany","Women","1940-1944",NA,7,1,1
"263","Germany","Women","1945-1949","Low",52,13,11
"264","Germany","Women","1945-1949","Medium",219,46,30
"265","Germany","Women","1945-1949","High",75,14,9
"266","Germany","Women","1945-1949",NA,10,3,1
"267","Germany","Women","1950-1954","Low",48,8,5
"268","Germany","Women","1950-1954","Medium",269,51,35
"269","Germany","Women","1950-1954","High",129,19,10
"270","Germany","Women","1950-1954",NA,6,2,1
"271","Germany","Women","1955-1959","Low",48,6,5
"272","Germany","Women","1955-1959","Medium",351,42,24
"273","Germany","Women","1955-1959","High",163,27,13
"274","Germany","Women","1955-1959",NA,9,3,1
"275","Germany","Women","1960-1964","Low",63,9,6
"276","Germany","Women","1960-1964","Medium",401,47,28
"277","Germany","Women","1960-1964","High",173,27,17
"278","Germany","Women","1960-1964",NA,7,1,1
"279","Germany","Women","1965-1969","Low",73,10,5
"280","Germany","Women","1965-1969","Medium",381,52,35
"281","Germany","Women","1965-1969","High",177,32,17
"282","Germany","Women","1965-1969",NA,10,4,4
"283","Germany","Women","1970-1974","Low",7,1,1
"284","Germany","Women","1970-1974","Medium",34,8,7
"285","Germany","Women","1970-1974","High",16,3,3
"286","France","Men","1925-1929","Low",130,29,20
"287","France","Men","1925-1929","Medium",31,5,4
"288","France","Men","1925-1929","High",22,3,1
"289","France","Men","1930-1934","Low",157,28,21
"290","France","Men","1930-1934","Medium",85,12,10
"291","France","Men","1930-1934","High",28,NA,NA
"292","France","Men","1935-1939","Low",137,16,11
"293","France","Men","1935-1939","Medium",114,18,12
"294","France","Men","1935-1939","High",43,4,2
"295","France","Men","1940-1944","Low",139,24,19
"296","France","Men","1940-1944","Medium",116,20,11
"297","France","Men","1940-1944","High",65,7,5
"298","France","Men","1945-1949","Low",160,23,16
"299","France","Men","1945-1949","Medium",178,24,18
"300","France","Men","1945-1949","High",98,13,6
"301","France","Men","1950-1954","Low",127,16,10
"302","France","Men","1950-1954","Medium",196,29,15
"303","France","Men","1950-1954","High",85,13,5
"304","France","Men","1955-1959","Low",122,32,19
"305","France","Men","1955-1959","Medium",172,34,20
"306","France","Men","1955-1959","High",109,28,15
"307","France","Men","1960-1964","Low",95,30,20
"308","France","Men","1960-1964","Medium",218,49,21
"309","France","Men","1960-1964","High",101,23,8
"310","France","Men","1965-1969","Low",87,19,15
"311","France","Men","1965-1969","Medium",248,47,28
"312","France","Men","1965-1969","High",135,32,15
"313","France","Men","1970-1974","Low",10,5,5
"314","France","Men","1970-1974","Medium",45,6,4
"315","France","Men","1970-1974","High",29,12,6
"316","France","Women","1925-1929","Low",193,33,17
"317","France","Women","1925-1929","Medium",46,12,7
