country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Belgium,Men,1930-1939,High,202.21001305588587,52.72788230128151,6.740322118481304
Belgium,Men,1930-1939,Low,203.01339890328188,39.832295763209316,6.325254069882881
Belgium,Men,1930-1939,NA,18.477316929028017,7.128687931225283,1.790706753730774
Belgium,Men,1940-1949,High,324.3794979287364,83.77240715427456,14.612754170173313
Belgium,Men,1940-1949,Low,283.29606442814156,87.54617315216139,22.333486873432975
Belgium,Men,1940-1949,NA,13.521042876468101,4.007299363613129,0.9642339944839478
Belgium,Men,1950-1959,High,434.0170660224379,82.4392236751692,30.40698709920341
Belgium,Men,1950-1959,Low,365.12342713780396,80.022922544125,21.24031160886038
Belgium,Men,1950-1959,NA,16.188360855359008,2.0380899906158447,0
Belgium,Men,1960-1969,High,452.9806095887528,94.85446723101899,31.692223400173816
Belgium,Men,1960-1969,Low,444.98811621850206,84.67713511064623,28.357813201062907
Belgium,Men,1960-1969,NA,8.680530887398028,1.8620332479476929,0.9310166239738464
Belgium,Men,1970-1979,High,145.55858073734095,29.449864816707297,10.466818125909597
Belgium,Men,1970-1979,Low,247.5478360078446,64.98481325984686,22.78281014075111
Belgium,Men,1970-1979,NA,6.090907619186062,1.8620332479476929,1.8620332479476929
Belgium,Men,1980-1989,High,20.48874568931952,6.537307170002993,3.6488879998519224
Belgium,Men,1980-1989,Low,8.139290794089447,1.740941613186287,0
Belgium,Women,1910-1919,High,1.6642536603449596,0.38610324075339797,0.38610324075339797
Belgium,Women,1910-1919,Low,1.5272271927632914,0,NA
Belgium,Women,1920-1929,High,35.513813718123295,8.905854529363976,2.5280056296599582
Belgium,Women,1920-1929,Low,36.2876926443208,5.7634210851924585,0.8849690556526184
Belgium,Women,1920-1929,NA,2.018929898738861,0.8849690556526184,0.8849690556526184
Belgium,Women,1930-1939,High,229.1887906214123,62.60020761344102,20.128731913625316
Belgium,Women,1930-1939,Low,199.7056544415014,44.65380447918274,18.21967166638626
Belgium,Women,1930-1939,NA,16.980447471141815,6.056789696216583,3.1528907418251038
Belgium,Women,1940-1949,High,327.91295694290847,84.93554531332822,14.406772434711456
Belgium,Women,1940-1949,Low,290.4414816121954,55.24746057386996,12.922893572638998
Belgium,Women,1940-1949,NA,19.993989404869506,5.862835228443146,0
Belgium,Women,1950-1959,High,442.1167377029609,80.30463776023132,11.225153720547134
Belgium,Women,1950-1959,Low,407.40636714362444,53.90622270495025,10.798412672000676
Belgium,Women,1950-1959,NA,20.29014284009726,4.657828144317293,2.832852713351869
Belgium,Women,1960-1969,High,489.63017478928936,72.02451122266059,18.1305492928981
Belgium,Women,1960-1969,Low,424.5542076270459,50.58031236561041,12.962445505034704
Belgium,Women,1960-1969,NA,14.793891489505768,0.9671778678894043,0
Belgium,Women,1970-1979,High,100.45807473064507,16.57728369329129,6.803425764682684
Belgium,Women,1970-1979,Low,252.38258964722468,38.08049075784516,8.173560634678338
Belgium,Women,1970-1979,NA,2.8934075832366943,0,NA
Belgium,Women,1980-1989,High,23.460685061060786,3.264847520406633,1.0173588305710197
Belgium,Women,1980-1989,Low,11.135756537804149,0.5056131698258639,0.5056131698258639
Benin,Men,1950-1959,High,83.00672110915184,0.4640899896621704,0
Benin,Men,1950-1959,Low,197.30676794052124,2.5732840299606323,2.5732840299606323
Benin,Men,1960-1969,High,289.29466158151627,3.0300969183444977,0
Benin,Men,1960-1969,Low,446.30778875947,9.937389969825745,5.12220698595047
Benin,Men,1970-1979,High,471.1682046055794,15.770247966051102,7.7859669625759125
Benin,Men,1970-1979,Low,798.3750348091125,14.823745965957642,4.289886891841888
Benin,Men,1980-1989,High,151.4825240522623,10.936766922473907,5.935365945100784
Benin,Men,1980-1989,Low,454.67353984713554,21.480369955301285,9.97152504324913
Benin,Women,1960-1969,High,91.51776969432831,3.8949549198150635,1.6942260265350342
Benin,Women,1960-1969,Low,307.90604320168495,3.7460010051727295,0.541333019733429
Benin,Women,1970-1979,High,619.4229304492474,15.159708857536316,3.732908934354782
Benin,Women,1970-1979,Low,2102.5657920241356,18.986490100622177,2.3615400195121765
Benin,Women,1980-1989,High,277.1973620057106,8.076345086097717,1.3096129894256592
Benin,Women,1980-1989,Low,1068.823119878769,17.415461778640747,2.3469289541244507
Bolivia,Men,1940-1949,High,116.3647018969059,11.010163877159357,3.5854369401931763
Bolivia,Men,1940-1949,Low,212.04866125062108,7.5844948925077915,1.8740459717810154
Bolivia,Men,1950-1959,High,374.3682738393545,19.419964991509914,12.522066950798035
Bolivia,Men,1950-1959,Low,407.9366930127144,17.37554508447647,9.576620012521744
Bolivia,Men,1960-1969,High,557.6730255447328,44.97260180860758,34.306355722248554
Bolivia,Men,1960-1969,Low,599.52713547647,32.79813611134887,18.178821112960577
